"Au_4h_D240_1" "Au_4h_D240_bis_2" "Au_4h_D240_3" "Au_4h_D238_4" "PEG_4h_D240_bis_5" "PEG_4h_D240_bis_6" "PEG_4h_D240_7" "PEG_4h_D238_8" "Au_24h_D240_9" "Au_24h_D240_10" "Au_24h_D240_11" "Au_24h_D238_12" "PEG_24h_D240_13" "PEG_24h_D240_14" "PEG_24h_D240_15" "PEG_24h_D240_16"
"PTGR1" 6 4 5 NA NA NA NA NA 1 1 3 NA NA NA 3 NA
"SePTIN8" 3 2 5 NA NA NA NA NA 3 NA NA NA NA NA NA NA
"H1-2" 3 4 4 NA NA 6 NA NA 6 NA NA NA NA NA NA NA
"CBR1" 2 5 3 NA NA NA NA NA 3 NA NA NA NA NA 1 NA
"RHOA" 3 2 2 NA NA 3 NA NA 3 NA NA NA NA NA NA NA
"CSN2" 5 1 1 NA NA 2 NA NA 2 NA NA 1 3 2 NA 1
"ANXA3" 4 2 1 NA NA 2 NA NA 2 NA NA NA NA NA NA NA
"GSTA1" 3 NA NA 1 NA NA NA NA 3 3 NA 2 NA NA NA NA
"SLC2A1" 4 7 6 NA 2 6 NA NA 5 NA NA NA 8 NA 8 3
"UGDH" NA 2 1 NA NA NA NA NA 1 NA 2 NA NA NA NA NA
"MAPRe1" NA 2 NA NA NA NA NA NA 3 NA NA NA NA NA NA NA
"PGFS2" 6 NA NA NA NA NA NA NA 6 NA NA NA NA NA NA NA
